"area","name","area_code"
"tanzania","Tanzania","TZA"
"mainland","Mainland","TZA001"
"dodoma","Dodoma","TZA001001"
"arusha","Arusha","TZA001002"
"kilimanjaro","Kilimanjaro","TZA001003"
"tanga","Tanga","TZA001004"
"morogoro","Morogoro","TZA001005"
"pwani","Pwani","TZA001006"
"dar_es_salaam","Dar Es Salaam","TZA001007"
"lindi","Lindi","TZA001008"
"mtwara","Mtwara","TZA001009"
"ruvuma","Ruvuma","TZA001010"
"iringa","Iringa","TZA001011"
"mbeya","Mbeya","TZA001012"
"singida","Singida","TZA001013"
"tabora","Tabora","TZA001014"
"rukwa","Rukwa","TZA001015"
"kigoma","Kigoma","TZA001016"
"shinyanga","Shinyanga","TZA001017"
"songwe","Songwe","TX"
"kagera","Kagera","TZA001018"
"mwanza","Mwanza","TZA001019"
"mara","Mara","TZA001020"
"manyara","Manyara","TZA001021"
"njombe","Njombe","TZA001022"
"katavi","Katavi","TZA001023"
"simiyu","Simiyu","TZA001024"
"geita","Geita","TZA001025"
"zanzibar","Zanzibar","TZA002"
"kaskazini_unguja","Kaskazini Unguja","TZA002051"
"kusini_unguja","Kusini Unguja","TZA002052"
"mjini_magharibi","Mjini Magharibi","TZA002053"
"kaskazini_pemba","Kaskazini Pemba","TZA002054"
"kusini_pemba","Kusini Pemba","TZA002055"
