geo,year,mode_transport,freight_volume_transported,datasource
zaf,2012,road_freight,526 million tons,lts2016
zaf,2012,rail_freight,210 million tons,lts2016
zaf,2013,road_freight,535 million tons,lts2016
zaf,2013,rail_freight,216 million tons,lts2016
zaf,2014,road_freight,573 million tons,lts2016
zaf,2014,rail_freight,225 million tons,lts2016
zaf,2015,road_freight,550 million tons,lts2016
zaf,2015,rail_freight,224 million tons,lts2016
zaf,2016,road_freight,562 million tons,lts2016
zaf,2016,rail_freight,220 million tons,lts2016
